group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0049,202,1592,3031,1477,10000,607,1026,3808,1744,3905,1,2674,3274,1988,5988,9437,215952,3425,1245,3309
intervention--0050,199,1563,3040,1559,10000,593,961,3750,1866,4016,1,2642,3247,2002,5944,9401,214329,3568,1185,3460
intervention--0051,246,1590,3147,1623,10000,628,1044,3864,1723,4306,1,2803,3693,2157,6174,9422,208413,3846,1267,3494
intervention--0052,234,1649,2990,1595,10000,577,1047,3845,1739,4118,1,2762,3495,2035,6145,9389,210921,3658,1327,3491
intervention--0053,172,1563,3027,1506,10000,577,1025,3892,1674,4076,1,2614,3368,2009,6001,9407,214233,3442,1228,3356
intervention--0054,194,1511,3144,1545,10000,545,970,3890,1747,4053,1,2642,3294,2033,6106,9404,213721,3520,1285,3288
intervention--0055,199,1506,3072,1378,10000,591,961,3843,1710,3756,1,2619,3196,1905,5939,9430,219563,3365,1172,3268
intervention--0056,170,1485,2980,1431,10000,559,966,3774,1668,3778,1,2552,3093,1876,5762,9449,218807,3328,1122,3338
intervention--0057,245,1644,3087,1566,10000,616,1088,3832,1840,4022,1,2707,3546,2051,6067,9438,212332,3679,1316,3347
intervention--0058,169,1527,3006,1444,10000,587,975,3822,1699,3829,1,2628,3199,1951,6032,9449,218139,3465,1249,3301
intervention--0059,200,1548,2990,1455,10000,577,978,3740,1649,3840,1,2599,3165,1960,5912,9386,213624,3476,1137,3251
intervention--0060,203,1643,3105,1503,10000,599,982,3805,1688,4039,1,2641,3377,1998,6023,9386,213640,3578,1197,3323
intervention--0061,187,1619,2999,1515,10000,597,944,3822,1690,3949,1,2692,3227,1986,6011,9440,213604,3527,1193,3291
intervention--0062,235,1617,3016,1678,10000,648,1044,3901,1690,4183,1,2732,3645,2128,6162,9436,208430,3688,1356,3496
intervention--0063,192,1559,2998,1441,10000,584,1023,3782,1665,3968,1,2509,3250,1915,5954,9435,215370,3438,1178,3185
intervention--0064,202,1541,3094,1573,10000,593,1077,3879,1696,4019,1,2716,3383,1982,6006,9385,213411,3427,1248,3323
intervention--0065,254,1641,3126,1631,10000,604,1058,3929,1769,4117,1,2765,3670,2179,6160,9382,208904,3917,1378,3422
intervention--0066,179,1529,2977,1530,10000,622,914,3864,1721,4015,1,2616,3305,1962,5950,9408,214042,3543,1240,3263
intervention--0067,166,1529,3031,1442,10000,559,1001,3885,1650,3853,1,2635,3220,1961,5857,9446,216029,3374,1206,3340
intervention--0068,201,1590,3080,1493,10000,618,1010,3944,1786,4008,1,2705,3459,2043,6203,9437,215159,3653,1311,3457
intervention--0069,273,1800,3186,1735,10000,639,1006,3884,1731,4287,1,2918,3841,2208,6339,9443,206914,4079,1410,3551
intervention--0070,156,1513,2908,1324,10000,538,952,3714,1652,3520,1,2450,2917,1823,5661,9399,221767,3191,1112,3163
intervention--0071,245,1667,3038,1605,10000,624,1001,3817,1770,4201,1,2786,3591,2094,6103,9406,208201,3700,1319,3409
intervention--0072,227,1591,2983,1511,10000,600,1071,3912,1724,3961,1,2617,3435,2097,6013,9375,212165,3472,1252,3461
intervention--0073,198,1566,3064,1466,10000,641,1023,3820,1661,4015,1,2668,3354,1893,6009,9417,215534,3336,1217,3252
intervention--0074,199,1569,3003,1480,10000,607,1032,3794,1669,3890,1,2593,3187,1944,5890,9477,217814,3414,1179,3211
intervention--0075,156,1516,2933,1376,10000,538,932,3765,1722,3616,1,2439,2891,1802,5797,9380,220089,3295,1097,3259
intervention--0076,204,1522,2990,1483,10000,595,955,3891,1663,3983,1,2639,3306,1912,6005,9390,212706,3393,1151,3326
