run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0092,149012.2,66930.43,82081.77,0.0,10.3347,149934.9,69454.83,75116.37,5363.71,10.7623,922.7,0.4276,2157.86,,20.3481,21.4171,1.069
0093,149563.1,67294.94,82268.16,0.0,10.392,150052.67,69012.21,75714.67,5325.79,10.6942,489.57,0.3022,1620.02,,20.4665,21.2319,0.7654
0094,148512.11,67134.63,81377.48,0.0,10.3664,150643.24,69270.69,76025.31,5347.24,10.7326,2131.14,0.3662,5819.61,,20.4127,21.3288,0.9161
0095,148730.49,66923.76,81806.73,0.0,10.3318,150106.91,69112.68,75656.57,5337.66,10.7092,1376.42,0.3774,3647.11,,20.3401,21.319,0.9789
0096,150621.01,67452.34,83168.67,0.0,10.4162,150954.02,69404.15,76190.27,5359.6,10.7534,333.01,0.3372,987.57,,20.5576,21.3972,0.8396
0097,151717.09,67649.84,84067.25,0.0,10.4408,153202.45,69863.3,77941.7,5397.44,10.8211,1485.36,0.3803,3905.76,,20.636,21.5731,0.9371
0098,149529.26,67001.0,82528.26,0.0,10.3414,149719.08,69199.49,75177.85,5341.74,10.7186,189.82,0.3772,503.23,,20.3809,21.3102,0.9293
0099,151185.97,67064.57,84121.4,0.0,10.3525,153166.98,69472.18,78327.81,5367.0,10.7688,1981.02,0.4164,4757.49,,20.3963,21.4492,1.0529
0100,148743.5,67109.92,81633.58,0.0,10.3657,150719.84,69251.45,76121.66,5346.74,10.7345,1976.34,0.3688,5358.84,,20.4092,21.339,0.9298
mean,149752.9956,67163.7305,82589.2653,0.0,10.3705,150965.0199,69406.5198,76198.6886,5359.8116,10.7555,1212.0237,0.385,3013.2294,3148.1135,20.4416,21.4004,0.9588
