run: 1 - year: 1,run: 1 - year: 2,run: 1 - year: 3,run: 1 - year: 4,run: 1 - year: 5,run: 1 - year: 6,run: 1 - year: 7,run: 1 - year: 8,run: 1 - year: 9,run: 1 - year: 10,run: 1 - year: 11,run: 1 - year: 12,run: 1 - year: 13,run: 1 - year: 14,run: 1 - year: 15,run: 1 - year: 16,run: 1 - year: 17,run: 1 - year: 18,run: 1 - year: 19,run: 1 - year: 20,run: 1 - year: 21,run: 1 - year: 22,run: 1 - year: 23,run: 1 - year: 24,run: 1 - year: 25,run: 1 - year: 26,run: 1 - year: 27,run: 1 - year: 28,run: 1 - year: 29,run: 1 - year: 30,run: 1 - year: 31,run: 1 - year: 32,run: 1 - year: 33,run: 1 - year: 34,run: 1 - year: 35,run: 1 - year: 36,run: 1 - year: 37,run: 1 - year: 38,run: 1 - year: 39,run: 1 - year: 40,run: 1 - year: 41,run: 1 - year: 42,run: 1 - year: 43,run: 1 - year: 44,run: 1 - year: 45,run: 1 - year: 46,run: 1 - year: 47,run: 1 - year: 48,run: 1 - year: 49,run: 1 - year: 50,run: 1 - year: 51,run: 1 - year: 52,run: 1 - year: 53,run: 1 - year: 54,run: 1 - year: 55,run: 1 - year: 56,run: 1 - year: 57,run: 1 - year: 58,run: 1 - year: 59,run: 1 - year: 60,run: 1 - year: 61,run: 1 - year: 62,run: 1 - year: 63,run: 1 - year: 64
6985.5042,14339.9248,21674.8119,29257.0555,36694.3211,44172.7829,51564.3812,58980.3814,66378.9512,73632.1539,80782.794,87692.1935,94583.5003,101265.9618,107627.5422,113719.3672,119765.7683,125456.1304,130884.5653,136080.6317,141102.106,145849.8596,150276.2237,154324.5356,158183.7421,161721.5276,165004.6532,167980.2924,170649.1082,173078.1515,175317.7514,177282.3472,179073.535,180661.4579,182011.0699,183164.3405,184169.7465,185050.8281,185811.5825,186454.3589,186996.4145,187435.0443,187781.2465,188074.8786,188305.1012,188493.7243,188636.4944,188732.1355,188815.8894,188880.2979,188929.084,188974.7442,189013.6618,189041.2713,189060.751,189071.7456,189081.3768,189087.4208,189091.7081,189093.8991,189096.9214,189098.0912,189098.2816,189098.8045
6985.5042,14339.9248,21674.8119,29257.0555,36694.3211,44172.7829,51564.3812,58980.3814,66378.9512,73632.1539,80782.794,87692.1935,94583.5003,101265.9618,107627.5422,113719.3672,119765.7683,125456.1304,130884.5653,136080.6317,141102.106,145849.8596,150276.2237,154324.5356,158183.7421,161721.5276,165004.6532,167980.2924,170649.1082,173078.1515,175317.7514,177282.3472,179073.535,180661.4579,182011.0699,183164.3405,184169.7465,185050.8281,185811.5825,186454.3589,186996.4145,187435.0443,187781.2465,188074.8786,188305.1012,188493.7243,188636.4944,188732.1355,188815.8894,188880.2979,188929.084,188974.7442,189013.6618,189041.2713,189060.751,189071.7456,189081.3768,189087.4208,189091.7081,189093.8991,189096.9214,189098.0912,189098.2816,189098.8045
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71467115,1.38293358,2.01084876,2.59535346,3.13791243,3.64491771,4.1133868399999995,4.55209436,4.96062035,5.33594536,5.68287109,6.00243054,6.29700024,6.56735955,6.81482617,7.03916548,7.24773496,7.435297019999999,7.60421927,7.75547993,7.892430740000001,8.01400097,8.1235225,8.21963706,8.3059114,8.38146781,8.44837715,8.5071153,8.55679193,8.60054759,8.63873153,8.67144014,8.699414659999999,8.72324182,8.743203170000001,8.759718529999999,8.773139350000001,8.78475738,8.79446661,8.80237797,8.80885561,8.81399469,8.81802091,8.82123633,8.82375813,8.8257542,8.827312390000001,8.82845026,8.82934283,8.83003144,8.83058039,8.8310442,8.83142104,8.83167708,8.83186577,8.83200171,8.832105460000001,8.83217108,8.83222479,8.832266319999999,8.8322983,8.83231711,8.83232152,8.83232533
0.71467115,1.38293358,2.01084876,2.59535346,3.13791243,3.64491771,4.1133868399999995,4.55209436,4.96062035,5.33594536,5.68287109,6.00243054,6.29700024,6.56735955,6.81482617,7.03916548,7.24773496,7.435297019999999,7.60421927,7.75547993,7.892430740000001,8.01400097,8.1235225,8.21963706,8.3059114,8.38146781,8.44837715,8.5071153,8.55679193,8.60054759,8.63873153,8.67144014,8.699414659999999,8.72324182,8.743203170000001,8.759718529999999,8.773139350000001,8.78475738,8.79446661,8.80237797,8.80885561,8.81399469,8.81802091,8.82123633,8.82375813,8.8257542,8.827312390000001,8.82845026,8.82934283,8.83003144,8.83058039,8.8310442,8.83142104,8.83167708,8.83186577,8.83200171,8.832105460000001,8.83217108,8.83222479,8.832266319999999,8.8322983,8.83231711,8.83232152,8.83232533
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
