group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
intervention--0027,46,3728,2037,353,3780,5180,2796,2898,1622,931,1765,1242,910,3395,1599,2808,8681,3257,9804,196
intervention--0027,47,3733,2038,353,3783,5181,2800,2902,1623,932,1768,1245,916,3396,1604,2812,8681,3260,9834,166
intervention--0027,48,3737,2039,354,3787,5183,2801,2903,1624,933,1770,1246,923,3400,1607,2815,8681,3261,9867,133
intervention--0027,49,3741,2042,354,3788,5185,2801,2908,1624,935,1773,1247,927,3401,1609,2816,8681,3261,9887,113
intervention--0027,50,3742,2045,355,3789,5186,2802,2908,1624,936,1774,1247,928,3404,1610,2817,8681,3262,9905,95
intervention--0027,51,3745,2048,356,3790,5187,2802,2911,1624,937,1775,1247,930,3404,1612,2817,8681,3262,9931,69
intervention--0027,52,3746,2048,356,3793,5187,2803,2911,1625,937,1776,1248,931,3405,1612,2818,8681,3262,9953,47
intervention--0027,53,3746,2049,356,3794,5187,2803,2913,1625,937,1777,1248,931,3407,1612,2819,8681,3263,9963,37
intervention--0027,54,3746,2050,356,3794,5188,2803,2915,1625,937,1778,1249,932,3407,1612,2819,8681,3264,9971,29
intervention--0027,55,3748,2050,356,3795,5189,2803,2915,1625,937,1778,1250,932,3407,1615,2820,8681,3265,9976,24
intervention--0027,56,3748,2050,356,3796,5189,2803,2916,1626,937,1778,1250,932,3408,1615,2820,8681,3266,9982,18
intervention--0027,57,3749,2050,356,3796,5189,2803,2916,1627,937,1778,1250,933,3408,1615,2820,8681,3266,9987,13
intervention--0027,58,3749,2050,357,3796,5189,2803,2916,1627,937,1778,1250,933,3408,1615,2820,8681,3266,9987,13
intervention--0027,59,3749,2050,357,3796,5190,2803,2916,1627,937,1779,1250,933,3408,1617,2820,8681,3266,9988,12
intervention--0027,60,3749,2050,357,3796,5190,2803,2917,1627,937,1779,1250,933,3408,1617,2820,8681,3267,9989,11
intervention--0027,61,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,933,3408,1617,2820,8681,3267,9991,9
intervention--0027,62,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9995,5
intervention--0027,63,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9997,3
intervention--0027,64,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9998,2
intervention--0027,65,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9998,2
intervention--0027,66,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9998,2
intervention--0027,67,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,9998,2
intervention--0027,68,3749,2050,357,3796,5190,2803,2917,1628,937,1779,1250,934,3408,1617,2820,8681,3267,10000,0
intervention--0033,1,186,39,4,52,266,64,82,99,24,8,84,4,107,12,116,1103,159,230,9770
intervention--0033,2,350,121,7,123,575,187,180,172,49,26,157,10,261,24,262,2315,329,463,9537
intervention--0033,3,512,185,10,204,920,303,296,246,91,57,211,17,456,45,413,3382,487,696,9304
intervention--0033,4,683,273,14,297,1194,430,384,329,124,88,279,29,630,64,540,4281,635,930,9070
intervention--0033,5,841,349,23,372,1486,543,496,392,153,126,348,39,811,92,660,5010,796,1200,8800
intervention--0033,6,988,426,37,482,1761,676,621,461,189,160,395,48,1005,120,781,5593,929,1458,8542
intervention--0033,7,1143,490,46,606,2062,797,746,519,222,200,441,64,1170,143,901,6125,1048,1750,8250
intervention--0033,8,1288,572,54,727,2322,931,863,579,247,256,485,91,1355,175,1023,6522,1189,2017,7983
intervention--0033,9,1434,629,65,862,2590,1069,978,637,281,310,524,108,1505,214,1128,6911,1318,2267,7733
intervention--0033,10,1552,689,80,999,2804,1197,1072,701,326,365,562,130,1676,269,1230,7237,1436,2542,7458
intervention--0033,11,1701,767,93,1143,3013,1310,1167,760,356,429,613,154,1813,324,1329,7467,1553,2822,7178
intervention--0033,12,1852,836,101,1303,3214,1414,1281,828,385,483,660,178,1947,376,1413,7691,1664,3093,6907
intervention--0033,13,1976,913,111,1472,3385,1521,1378,878,409,545,705,205,2061,434,1500,7865,1778,3377,6623
intervention--0033,14,2122,984,122,1649,3546,1629,1486,926,436,616,739,228,2169,491,1595,7993,1883,3665,6335
intervention--0033,15,2238,1044,138,1794,3721,1730,1585,990,465,683,770,251,2272,559,1684,8126,1998,3938,6062
intervention--0033,16,2352,1120,148,1934,3882,1821,1697,1040,492,758,803,281,2380,620,1777,8227,2103,4272,5728
intervention--0033,17,2469,1166,165,2093,4039,1912,1795,1082,530,823,837,309,2475,672,1849,8307,2187,4550,5450
intervention--0033,18,2578,1234,180,2235,4159,2012,1878,1121,559,896,871,341,2572,731,1932,8386,2272,4816,5184
intervention--0033,19,2674,1295,196,2365,4279,2088,1967,1174,589,969,904,369,2645,780,2023,8447,2364,5104,4896
intervention--0033,20,2771,1356,204,2484,4385,2152,2046,1224,615,1040,939,391,2734,845,2109,8492,2447,5412,4588
intervention--0033,21,2854,1400,218,2614,4490,2216,2135,1260,638,1103,962,430,2807,892,2168,8537,2522,5681,4319
intervention--0033,22,2941,1448,231,2730,4587,2289,2217,1294,660,1176,1004,457,2870,956,2235,8568,2581,5968,4032
intervention--0033,23,3014,1505,246,2848,4668,2344,2284,1327,687,1230,1024,498,2945,1011,2300,8605,2636,6283,3717
intervention--0033,24,3106,1549,266,2960,4729,2404,2348,1362,711,1286,1048,522,3000,1072,2346,8632,2693,6566,3434
intervention--0033,25,3180,1593,274,3065,4779,2462,2403,1397,729,1344,1074,558,3043,1134,2391,8648,2744,6829,3171
intervention--0033,26,3242,1647,290,3162,4835,2501,2446,1420,745,1391,1089,591,3092,1169,2450,8668,2801,7108,2892
intervention--0033,27,3305,1679,300,3244,4889,2544,2504,1446,765,1444,1112,616,3133,1204,2483,8685,2855,7360,2640
intervention--0033,28,3358,1715,309,3323,4928,2586,2552,1464,777,1486,1130,644,3176,1234,2522,8697,2899,7586,2414
intervention--0033,29,3411,1754,316,3385,4975,2609,2586,1488,796,1519,1146,675,3215,1272,2559,8709,2935,7812,2188
intervention--0033,30,3447,1786,325,3439,5010,2638,2628,1506,810,1554,1163,701,3241,1307,2592,8721,2963,8041,1959
intervention--0033,31,3493,1805,332,3491,5043,2666,2664,1521,822,1576,1172,722,3269,1340,2628,8725,2994,8241,1759
intervention--0033,32,3529,1824,339,3538,5070,2697,2698,1528,834,1606,1181,735,3294,1381,2648,8732,3025,8417,1583
intervention--0033,33,3560,1839,344,3581,5084,2720,2731,1536,845,1637,1192,754,3310,1412,2665,8736,3049,8580,1420
intervention--0033,34,3589,1851,352,3616,5111,2735,2761,1547,858,1656,1206,776,3328,1436,2686,8742,3069,8735,1265
intervention--0033,35,3615,1869,358,3644,5129,2756,2782,1555,863,1678,1219,790,3341,1462,2705,8749,3086,8885,1115
intervention--0033,36,3635,1877,363,3667,5149,2770,2792,1563,864,1701,1229,802,3367,1492,2720,8749,3106,9029,971
intervention--0033,37,3654,1893,367,3686,5159,2786,2809,1570,867,1709,1236,816,3382,1514,2729,8750,3115,9184,816
intervention--0033,38,3664,1912,368,3715,5169,2798,2827,1577,872,1719,1238,823,3391,1529,2740,8750,3119,9281,719
intervention--0033,39,3680,1921,370,3733,5177,2808,2845,1583,876,1729,1241,831,3396,1537,2747,8750,3129,9378,622
intervention--0033,40,3688,1930,373,3748,5185,2814,2853,1588,879,1739,1247,843,3402,1548,2754,8753,3140,9470,530
intervention--0033,41,3700,1936,374,3758,5190,2817,2862,1590,882,1753,1249,854,3415,1558,2755,8753,3144,9554,446
intervention--0033,42,3706,1946,377,3769,5194,2819,2869,1591,882,1763,1252,858,3416,1565,2762,8753,3148,9622,378
intervention--0033,43,3714,1954,378,3784,5205,2825,2876,1596,885,1770,1254,863,3421,1572,2765,8755,3152,9679,321
intervention--0033,44,3720,1957,378,3794,5213,2830,2880,1597,885,1776,1257,867,3429,1576,2765,8758,3154,9742,258
intervention--0033,45,3724,1961,379,3796,5214,2830,2893,1597,886,1779,1257,874,3435,1583,2769,8758,3156,9786,214
intervention--0033,46,3728,1963,379,3797,5217,2834,2896,1599,888,1781,1260,881,3440,1587,2774,8758,3158,9820,180
intervention--0033,47,3731,1965,379,3799,5220,2836,2899,1602,889,1783,1261,884,3444,1592,2775,8758,3162,9851,149
intervention--0033,48,3733,1967,379,3804,5221,2837,2901,1603,889,1786,1262,889,3446,1597,2775,8758,3163,9879,121
intervention--0033,49,3735,1968,379,3806,5222,2837,2905,1604,889,1787,1263,890,3448,1603,2777,8758,3164,9899,101
intervention--0033,50,3740,1972,379,3808,5222,2839,2907,1604,890,1787,1263,893,3449,1605,2777,8758,3167,9911,89
intervention--0033,51,3740,1975,379,3808,5225,2840,2907,1604,890,1788,1264,894,3449,1605,2778,8758,3168,9933,67
intervention--0033,52,3740,1975,379,3808,5225,2843,2909,1604,890,1789,1264,894,3449,1605,2778,8758,3169,9945,55
