group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,intervention,count_surviving
intervention--0027,1,204,34,3,47,275,75,65,74,31,5,61,6,133,14,131,1189,161,231,1,9769
intervention--0027,2,184,53,6,78,326,119,86,73,41,13,55,8,164,23,163,1145,217,205,1,9564
intervention--0027,3,159,62,2,60,303,115,109,75,25,24,59,7,167,17,127,1045,161,241,1,9323
intervention--0027,4,153,62,6,88,292,105,97,58,34,35,63,8,175,26,127,889,146,247,1,9076
intervention--0027,5,144,66,5,116,256,115,109,69,25,32,55,13,183,32,115,703,142,295,1,8781
intervention--0027,6,150,67,8,113,287,128,124,65,28,50,55,14,182,31,123,614,125,226,1,8555
intervention--0027,7,162,76,12,128,281,113,93,74,34,51,47,13,183,30,106,501,144,238,1,8317
intervention--0027,8,129,78,11,105,271,128,127,61,49,54,50,18,175,27,111,443,158,270,1,8047
intervention--0027,9,137,69,17,127,255,129,115,64,35,47,40,15,143,43,125,373,137,239,1,7808
intervention--0027,10,140,70,9,153,259,94,116,64,36,48,42,24,135,33,110,300,153,269,1,7539
intervention--0027,11,122,79,7,130,211,121,101,70,43,79,45,18,143,45,109,241,116,278,1,7261
intervention--0027,12,132,84,9,173,198,109,101,62,38,69,39,22,133,54,88,200,123,298,1,6963
intervention--0027,13,144,81,13,155,189,113,106,48,34,64,39,20,154,51,92,183,114,302,1,6661
intervention--0027,14,135,70,10,154,196,98,83,50,28,69,43,33,128,68,82,119,97,313,1,6348
intervention--0027,15,121,83,10,175,166,106,112,51,32,67,48,24,106,52,99,128,105,329,1,6019
intervention--0027,16,128,71,13,142,145,83,95,56,35,65,37,26,91,61,93,99,116,313,1,5706
intervention--0027,17,122,78,18,135,132,112,104,48,34,58,47,29,89,62,79,79,100,273,1,5433
intervention--0027,18,100,59,11,153,123,97,91,61,30,65,35,25,81,53,89,75,62,300,1,5133
intervention--0027,19,101,68,12,131,128,80,83,51,30,81,34,28,79,53,83,57,84,289,1,4844
intervention--0027,20,107,58,11,138,98,79,80,39,31,69,28,35,84,74,69,50,72,297,1,4547
intervention--0027,21,110,87,13,119,100,55,95,40,30,56,31,32,64,66,73,51,89,302,1,4245
intervention--0027,22,65,50,14,122,95,60,71,34,17,70,40,36,75,44,62,32,68,286,1,3959
intervention--0027,23,94,61,11,130,72,54,71,31,17,50,29,38,58,59,60,21,58,253,1,3706
intervention--0027,24,76,50,13,118,78,60,73,35,22,61,19,32,60,62,49,24,63,304,1,3402
intervention--0027,25,79,55,11,88,53,54,54,29,20,54,11,31,51,48,52,27,57,242,1,3160
intervention--0027,26,54,34,12,81,58,52,53,34,22,49,21,34,28,50,41,13,43,250,1,2910
intervention--0027,27,53,40,8,87,43,38,54,20,18,56,15,26,41,39,39,16,34,248,1,2662
intervention--0027,28,44,33,8,65,46,45,42,17,23,49,19,29,41,40,35,11,38,228,1,2434
intervention--0027,29,60,37,12,48,46,37,59,26,11,37,19,22,31,33,38,14,41,245,1,2189
intervention--0027,30,32,27,6,63,28,33,41,20,16,31,17,22,29,41,35,3,31,224,1,1965
intervention--0027,31,36,29,9,49,31,30,41,20,9,27,17,31,28,30,27,6,30,201,1,1764
intervention--0027,32,54,29,4,55,30,25,40,15,6,33,11,19,28,30,24,8,20,204,1,1560
intervention--0027,33,30,29,7,38,21,19,34,21,9,17,6,23,18,25,20,3,27,178,1,1382
intervention--0027,34,28,21,5,49,15,14,29,9,10,23,12,12,26,32,14,3,21,145,1,1237
intervention--0027,35,21,19,4,30,10,13,22,13,2,14,6,13,19,19,23,3,14,134,1,1103
intervention--0027,36,21,11,5,29,9,17,22,9,5,17,9,19,12,20,12,2,16,125,1,978
intervention--0027,37,11,13,5,21,7,18,15,7,5,10,9,11,6,27,15,2,19,123,1,855
intervention--0027,38,15,9,4,14,8,9,15,4,3,11,7,27,12,12,17,3,11,117,1,738
intervention--0027,39,11,6,0,16,11,14,10,4,3,8,7,11,12,17,12,2,11,101,1,637
intervention--0027,40,18,4,2,10,6,10,18,7,0,8,3,12,7,21,6,2,8,89,1,548
intervention--0027,41,11,4,2,12,3,5,14,4,3,10,5,10,5,1,7,1,6,73,1,475
intervention--0027,42,9,1,5,9,5,3,6,1,2,9,2,7,5,10,11,0,3,69,1,406
intervention--0027,43,12,6,0,6,4,4,7,0,1,3,0,5,7,10,6,1,5,65,1,341
intervention--0027,44,3,3,0,7,3,2,8,2,2,8,1,10,3,6,4,0,5,61,1,280
intervention--0027,45,2,3,0,8,2,4,2,3,2,5,3,5,1,2,1,0,3,43,1,237
intervention--0027,46,5,8,0,5,5,2,5,4,0,4,1,7,0,6,4,0,3,41,1,196
intervention--0027,47,5,1,0,3,1,4,4,1,1,3,3,6,1,5,4,0,3,30,1,166
intervention--0027,48,4,1,1,4,2,1,1,1,1,2,1,7,4,3,3,0,1,33,1,133
intervention--0027,49,4,3,0,1,2,0,5,0,2,3,1,4,1,2,1,0,0,20,1,113
intervention--0027,50,1,3,1,1,1,1,0,0,1,1,0,1,3,1,1,0,1,18,1,95
intervention--0027,51,3,3,1,1,1,0,3,0,1,1,0,2,0,2,0,0,0,26,1,69
intervention--0027,52,1,0,0,3,0,1,0,1,0,1,1,1,1,0,1,0,0,22,1,47
intervention--0027,53,0,1,0,1,0,0,2,0,0,1,0,0,2,0,1,0,1,10,1,37
intervention--0027,54,0,1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,1,8,1,29
intervention--0027,55,2,0,0,1,1,0,0,0,0,0,1,0,0,3,1,0,1,5,1,24
intervention--0027,56,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,6,1,18
intervention--0027,57,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,13
intervention--0027,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
intervention--0027,59,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,1,12
intervention--0027,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,11
intervention--0027,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,9
intervention--0027,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5
intervention--0027,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
intervention--0027,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
intervention--0027,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
intervention--0027,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
intervention--0027,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
intervention--0027,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
intervention--0033,1,186,39,4,52,266,64,82,99,24,8,84,4,107,12,116,1103,159,230,1,9770
intervention--0033,2,164,82,3,71,309,123,98,73,25,18,73,6,154,12,146,1212,170,233,1,9537
intervention--0033,3,162,64,3,81,345,116,116,74,42,31,54,7,195,21,151,1067,158,233,1,9304
intervention--0033,4,171,88,4,93,274,127,88,83,33,31,68,12,174,19,127,899,148,234,1,9070
intervention--0033,5,158,76,9,75,292,113,112,63,29,38,69,10,181,28,120,729,161,270,1,8800
intervention--0033,6,147,77,14,110,275,133,125,69,36,34,47,9,194,28,121,583,133,258,1,8542
intervention--0033,7,155,64,9,124,301,121,125,58,33,40,46,16,165,23,120,532,119,292,1,8250
intervention--0033,8,145,82,8,121,260,134,117,60,25,56,44,27,185,32,122,397,141,267,1,7983
intervention--0033,9,146,57,11,135,268,138,115,58,34,54,39,17,150,39,105,389,129,250,1,7733
intervention--0033,10,118,60,15,137,214,128,94,64,45,55,38,22,171,55,102,326,118,275,1,7458
intervention--0033,11,149,78,13,144,209,113,95,59,30,64,51,24,137,55,99,230,117,280,1,7178
intervention--0033,12,151,69,8,160,201,104,114,68,29,54,47,24,134,52,84,224,111,271,1,6907
intervention--0033,13,124,77,10,169,171,107,97,50,24,62,45,27,114,58,87,174,114,284,1,6623
intervention--0033,14,146,71,11,177,161,108,108,48,27,71,34,23,108,57,95,128,105,288,1,6335
intervention--0033,15,116,60,16,145,175,101,99,64,29,67,31,23,103,68,89,133,115,273,1,6062
intervention--0033,16,114,76,10,140,161,91,112,50,27,75,33,30,108,61,93,101,105,334,1,5728
intervention--0033,17,117,46,17,159,157,91,98,42,38,65,34,28,95,52,72,80,84,278,1,5450
intervention--0033,18,109,68,15,142,120,100,83,39,29,73,34,32,97,59,83,79,85,266,1,5184
intervention--0033,19,96,61,16,130,120,76,89,53,30,73,33,28,73,49,91,61,92,288,1,4896
intervention--0033,20,97,61,8,119,106,64,79,50,26,71,35,22,89,65,86,45,83,308,1,4588
intervention--0033,21,83,44,14,130,105,64,89,36,23,63,23,39,73,47,59,45,75,269,1,4319
intervention--0033,22,87,48,13,116,97,73,82,34,22,73,42,27,63,64,67,31,59,287,1,4032
intervention--0033,23,73,57,15,118,81,55,67,33,27,54,20,41,75,55,65,37,55,315,1,3717
intervention--0033,24,92,44,20,112,61,60,64,35,24,56,24,24,55,61,46,27,57,283,1,3434
intervention--0033,25,74,44,8,105,50,58,55,35,18,58,26,36,43,62,45,16,51,263,1,3171
intervention--0033,26,62,54,16,97,56,39,43,23,16,47,15,33,49,35,59,20,57,279,1,2892
intervention--0033,27,63,32,10,82,54,43,58,26,20,53,23,25,41,35,33,17,54,252,1,2640
intervention--0033,28,53,36,9,79,39,42,48,18,12,42,18,28,43,30,39,12,44,226,1,2414
intervention--0033,29,53,39,7,62,47,23,34,24,19,33,16,31,39,38,37,12,36,226,1,2188
intervention--0033,30,36,32,9,54,35,29,42,18,14,35,17,26,26,35,33,12,28,229,1,1959
intervention--0033,31,46,19,7,52,33,28,36,15,12,22,9,21,28,33,36,4,31,200,1,1759
intervention--0033,32,36,19,7,47,27,31,34,7,12,30,9,13,25,41,20,7,31,176,1,1583
intervention--0033,33,31,15,5,43,14,23,33,8,11,31,11,19,16,31,17,4,24,163,1,1420
intervention--0033,34,29,12,8,35,27,15,30,11,13,19,14,22,18,24,21,6,20,155,1,1265
intervention--0033,35,26,18,6,28,18,21,21,8,5,22,13,14,13,26,19,7,17,150,1,1115
intervention--0033,36,20,8,5,23,20,14,10,8,1,23,10,12,26,30,15,0,20,144,1,971
intervention--0033,37,19,16,4,19,10,16,17,7,3,8,7,14,15,22,9,1,9,155,1,816
intervention--0033,38,10,19,1,29,10,12,18,7,5,10,2,7,9,15,11,0,4,97,1,719
intervention--0033,39,16,9,2,18,8,10,18,6,4,10,3,8,5,8,7,0,10,97,1,622
intervention--0033,40,8,9,3,15,8,6,8,5,3,10,6,12,6,11,7,3,11,92,1,530
intervention--0033,41,12,6,1,10,5,3,9,2,3,14,2,11,13,10,1,0,4,84,1,446
intervention--0033,42,6,10,3,11,4,2,7,1,0,10,3,4,1,7,7,0,4,68,1,378
intervention--0033,43,8,8,1,15,11,6,7,5,3,7,2,5,5,7,3,2,4,57,1,321
intervention--0033,44,6,3,0,10,8,5,4,1,0,6,3,4,8,4,0,3,2,63,1,258
intervention--0033,45,4,4,1,2,1,0,13,0,1,3,0,7,6,7,4,0,2,44,1,214
intervention--0033,46,4,2,0,1,3,4,3,2,2,2,3,7,5,4,5,0,2,34,1,180
intervention--0033,47,3,2,0,2,3,2,3,3,1,2,1,3,4,5,1,0,4,31,1,149
intervention--0033,48,2,2,0,5,1,1,2,1,0,3,1,5,2,5,0,0,1,28,1,121
intervention--0033,49,2,1,0,2,1,0,4,1,0,1,1,1,2,6,2,0,1,20,1,101
intervention--0033,50,5,4,0,2,0,2,2,0,1,0,0,3,1,2,0,0,3,12,1,89
intervention--0033,51,0,3,0,0,3,1,0,0,0,1,1,1,0,0,1,0,1,22,1,67
intervention--0033,52,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,1,12,1,55
intervention--0033,53,0,2,0,1,2,1,1,0,0,0,0,2,0,1,0,1,1,9,1,46
intervention--0033,54,0,2,0,0,1,2,2,0,0,0,0,1,0,4,0,0,1,14,1,32
intervention--0033,55,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,1,27
intervention--0033,56,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,7,1,20
intervention--0033,57,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,6,1,14
intervention--0033,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,8
intervention--0033,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,7
intervention--0033,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,7
intervention--0033,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5
intervention--0033,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
intervention--0033,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
intervention--0033,64,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,3
intervention--0033,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
intervention--0033,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
intervention--0033,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
intervention--0033,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
non-intervention--0038,1,192,37,2,39,265,71,83,90,23,5,65,3,121,15,117,1056,193,267,0,9733
non-intervention--0038,2,170,50,4,78,302,99,90,75,33,10,57,9,176,14,140,1141,145,238,0,9495
non-intervention--0038,3,153,71,7,82,320,116,104,65,22,25,51,5,191,26,126,1053,147,258,0,9237
non-intervention--0038,4,149,67,7,82,312,125,79,70,27,21,61,15,200,28,121,863,164,225,0,9012
non-intervention--0038,5,161,55,7,110,272,112,99,65,36,30,52,11,191,29,139,746,159,253,0,8759
non-intervention--0038,6,159,71,8,102,303,132,88,53,33,49,46,18,160,36,108,622,134,246,0,8513
non-intervention--0038,7,143,82,9,112,254,99,124,58,27,40,48,13,169,32,96,537,146,253,0,8260
non-intervention--0038,8,141,65,11,136,290,125,98,64,38,46,39,15,161,42,116,433,141,264,0,7996
non-intervention--0038,9,127,74,9,157,262,120,110,50,27,64,49,22,165,46,100,337,149,268,0,7728
non-intervention--0038,10,150,80,7,132,246,112,111,58,39,53,67,22,154,41,101,325,116,259,0,7469
non-intervention--0038,11,126,73,12,153,225,125,101,49,45,48,47,27,136,37,107,254,132,259,0,7210
non-intervention--0038,12,148,76,8,167,207,108,96,46,35,90,59,29,121,57,109,205,109,270,0,6940
non-intervention--0038,13,119,84,16,154,176,85,112,57,26,80,45,33,132,68,99,167,112,312,0,6628
non-intervention--0038,14,130,68,17,147,185,105,108,48,33,44,42,26,116,59,106,137,107,285,0,6343
non-intervention--0038,15,127,80,16,155,172,104,87,53,27,58,29,31,104,68,95,133,103,262,0,6081
non-intervention--0038,16,123,66,10,154,151,99,89,43,31,64,38,27,87,57,77,96,93,280,0,5801
non-intervention--0038,17,130,75,14,154,142,100,83,63,35,78,44,37,107,56,104,89,90,292,0,5509
non-intervention--0038,18,113,63,6,167,131,78,94,39,25,74,34,37,83,65,93,64,90,307,0,5202
non-intervention--0038,19,103,72,8,116,103,70,83,37,34,54,35,31,71,53,65,63,69,313,0,4889
non-intervention--0038,20,87,46,14,139,102,77,85,46,25,66,39,29,88,50,87,50,72,310,0,4579
non-intervention--0038,21,85,48,14,136,90,84,82,34,24,57,26,30,77,49,61,45,69,313,0,4266
non-intervention--0038,22,84,67,12,102,85,79,76,25,25,63,27,31,62,54,50,51,73,288,0,3978
non-intervention--0038,23,86,55,14,114,100,70,80,36,16,61,25,38,68,64,61,25,64,302,0,3676
non-intervention--0038,24,67,55,5,101,67,45,67,38,14,60,24,36,52,55,57,27,54,281,0,3395
non-intervention--0038,25,72,43,11,93,65,51,69,24,13,36,17,34,41,54,51,24,56,266,0,3129
non-intervention--0038,26,46,43,14,85,55,63,58,23,10,46,18,28,49,62,41,15,44,235,0,2894
non-intervention--0038,27,50,38,9,78,46,43,62,26,15,37,18,34,39,53,43,11,46,246,0,2648
non-intervention--0038,28,50,36,11,58,40,33,47,23,17,34,24,25,33,44,38,15,37,201,0,2447
non-intervention--0038,29,43,43,6,62,33,37,34,17,14,33,14,28,29,28,30,8,32,226,0,2221
non-intervention--0038,30,36,23,8,58,35,44,53,19,13,32,12,23,32,36,36,8,36,214,0,2007
non-intervention--0038,31,27,27,10,60,32,28,32,14,12,34,17,17,25,29,24,5,29,218,0,1789
non-intervention--0038,32,34,19,9,46,26,22,24,10,13,29,10,18,20,33,27,8,23,177,0,1612
non-intervention--0038,33,31,16,9,41,21,15,36,11,10,30,7,20,24,21,23,1,23,162,0,1450
non-intervention--0038,34,32,19,9,32,23,22,25,10,9,23,9,10,23,23,15,6,20,169,0,1281
non-intervention--0038,35,20,15,11,32,15,25,21,10,8,20,2,14,13,31,21,5,16,140,0,1141
non-intervention--0038,36,24,14,7,26,13,16,22,11,5,17,4,10,11,23,17,1,12,129,0,1012
non-intervention--0038,37,17,15,5,17,21,11,23,4,8,14,3,6,6,14,11,1,14,123,0,889
non-intervention--0038,38,18,6,5,23,6,11,13,6,3,14,5,15,10,10,7,1,9,135,0,754
non-intervention--0038,39,15,13,4,16,8,10,16,6,5,10,1,15,12,13,5,0,10,106,0,648
non-intervention--0038,40,18,11,1,13,6,6,21,7,8,11,3,7,8,9,7,0,10,98,0,550
non-intervention--0038,41,6,6,2,17,3,12,9,4,4,10,3,14,7,7,8,3,7,86,0,464
non-intervention--0038,42,7,3,0,9,9,4,12,2,3,6,1,8,8,7,6,2,12,76,0,388
non-intervention--0038,43,8,4,2,12,2,5,11,4,2,5,0,5,3,8,4,1,3,61,0,327
non-intervention--0038,44,5,7,2,3,3,4,5,0,0,2,0,3,5,5,6,0,1,50,0,277
non-intervention--0038,45,7,1,1,6,2,5,8,2,2,1,1,2,3,6,4,0,8,35,0,242
non-intervention--0038,46,2,3,4,7,1,6,7,3,1,7,0,1,2,3,2,0,2,39,0,203
non-intervention--0038,47,2,2,1,2,1,2,3,0,1,3,0,3,5,3,1,0,5,46,0,157
non-intervention--0038,48,2,3,1,1,2,3,4,2,3,3,2,3,0,4,1,0,3,26,0,131
non-intervention--0038,49,0,2,1,5,1,2,2,0,3,1,0,5,4,7,1,1,6,24,0,107
non-intervention--0038,50,5,1,1,3,1,1,1,0,0,0,1,1,1,1,1,0,0,24,0,83
non-intervention--0038,51,0,0,0,1,0,0,1,0,0,0,2,3,1,0,2,0,1,14,0,69
non-intervention--0038,52,1,0,0,2,2,1,1,1,0,1,0,5,3,1,0,0,1,13,0,56
non-intervention--0038,53,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,13,0,43
non-intervention--0038,54,1,1,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,7,0,36
non-intervention--0038,55,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,4,0,32
non-intervention--0038,56,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,9,0,23
non-intervention--0038,57,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,19
non-intervention--0038,58,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,12
non-intervention--0038,59,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,8
non-intervention--0038,60,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4
non-intervention--0038,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
non-intervention--0038,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
non-intervention--0038,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
non-intervention--0038,64,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
non-intervention--0038,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
non-intervention--0038,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
non-intervention--0010,1,174,54,5,48,272,79,96,102,34,8,61,4,115,8,113,1094,190,268,0,9732
non-intervention--0010,2,163,49,5,69,282,104,94,79,30,16,59,7,182,17,149,1209,168,250,0,9482
non-intervention--0010,3,193,57,5,72,321,108,109,67,38,21,46,19,177,17,124,1070,143,238,0,9244
non-intervention--0010,4,174,79,8,88,310,117,94,73,32,42,70,12,174,26,118,886,145,268,0,8976
non-intervention--0010,5,177,75,8,104,295,110,115,90,39,40,56,8,190,33,138,703,152,293,0,8683
non-intervention--0010,6,145,94,10,99,294,135,95,72,35,39,60,20,191,33,116,617,123,258,0,8425
non-intervention--0010,7,147,81,5,123,254,128,91,60,36,42,58,16,165,35,120,529,142,262,0,8163
non-intervention--0010,8,166,60,11,143,248,125,89,61,31,51,58,17,175,39,104,419,120,268,0,7895
non-intervention--0010,9,150,69,11,143,254,110,107,57,25,58,43,14,151,37,131,356,121,256,0,7639
non-intervention--0010,10,142,73,9,133,243,146,103,56,41,58,35,28,145,42,112,303,121,269,0,7370
non-intervention--0010,11,145,76,14,158,206,119,101,56,45,62,53,27,121,51,87,240,130,295,0,7075
non-intervention--0010,12,120,85,14,153,229,109,108,54,30,69,47,17,117,46,76,199,124,266,0,6809
non-intervention--0010,13,128,83,16,150,179,114,86,63,29,53,37,29,107,65,104,158,114,290,0,6519
