group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,intervention,count_surviving
non-intervention--0010,14,128,58,8,153,179,111,105,45,26,70,42,30,116,52,106,158,103,303,0,6216
non-intervention--0010,15,127,84,17,160,151,105,100,52,16,68,41,19,105,59,85,131,92,305,0,5911
non-intervention--0010,16,115,66,13,138,151,81,78,50,31,59,36,33,77,61,82,107,110,297,0,5614
non-intervention--0010,17,134,59,16,143,142,106,104,37,24,74,38,33,96,54,73,68,99,299,0,5315
non-intervention--0010,18,107,48,14,145,131,89,84,39,27,48,36,27,97,54,77,64,90,298,0,5017
non-intervention--0010,19,98,49,15,154,101,68,93,50,28,63,30,28,79,57,70,46,100,304,0,4713
non-intervention--0010,20,86,67,12,136,106,69,68,43,29,52,28,30,72,51,56,44,76,288,0,4425
non-intervention--0010,21,98,57,7,125,92,69,95,32,14,60,41,41,75,45,77,35,70,330,0,4095
non-intervention--0010,22,88,53,13,108,71,59,70,32,19,72,19,31,59,55,38,32,46,279,0,3816
non-intervention--0010,23,61,59,11,88,71,66,61,24,25,50,21,35,49,57,52,24,59,260,0,3556
non-intervention--0010,24,79,41,13,81,56,54,44,29,9,68,24,31,57,44,40,29,61,274,0,3282
non-intervention--0010,25,64,50,9,86,65,56,56,18,20,59,27,35,44,52,52,24,53,255,0,3027
non-intervention--0010,26,64,35,9,98,51,46,44,24,15,41,17,24,47,45,36,15,48,243,0,2784
non-intervention--0010,27,58,36,13,78,50,46,59,12,17,40,17,22,46,50,32,18,46,216,0,2568
non-intervention--0010,28,50,38,5,69,42,37,65,15,12,32,14,28,24,53,35,16,41,209,0,2359
non-intervention--0010,29,39,41,8,72,45,35,39,20,18,44,21,19,24,33,30,8,39,217,0,2142
non-intervention--0010,30,32,23,7,46,33,33,35,22,10,30,13,25,31,39,29,7,32,206,0,1936
non-intervention--0010,31,36,27,6,62,34,35,19,20,16,38,13,25,26,36,28,7,29,183,0,1753
non-intervention--0010,32,31,23,8,43,26,26,36,14,9,31,9,22,28,15,29,5,19,181,0,1572
non-intervention--0010,33,38,19,7,35,31,15,26,14,5,19,14,31,17,27,19,7,16,169,0,1403
non-intervention--0010,34,31,17,8,37,16,20,28,14,9,22,11,16,20,35,16,3,12,165,0,1238
non-intervention--0010,35,15,12,5,24,17,17,22,14,8,27,7,18,14,23,14,3,20,152,0,1086
non-intervention--0010,36,22,11,5,21,6,6,24,7,8,20,9,22,21,16,11,3,13,131,0,955
non-intervention--0010,37,22,17,4,24,14,12,24,7,4,17,4,12,16,14,12,4,7,120,0,835
non-intervention--0010,38,10,8,5,25,12,8,11,7,2,24,2,12,8,11,10,3,11,123,0,712
non-intervention--0010,39,14,9,2,16,2,8,11,6,2,9,5,15,8,11,5,2,10,89,0,623
non-intervention--0010,40,16,5,2,8,11,9,15,5,4,14,4,9,6,14,4,1,10,86,0,537
non-intervention--0010,41,7,7,2,9,3,4,13,4,4,11,5,10,12,9,9,2,3,77,0,460
non-intervention--0010,42,4,4,4,9,8,6,7,3,0,9,2,8,6,10,7,0,5,71,0,389
non-intervention--0010,43,6,4,1,6,9,8,7,5,2,8,0,6,6,7,5,0,7,62,0,327
non-intervention--0010,44,6,5,2,3,3,6,7,0,3,2,4,3,6,7,5,0,4,44,0,283
non-intervention--0010,45,7,0,2,4,2,3,5,3,0,7,2,4,5,3,5,0,4,47,0,236
non-intervention--0010,46,3,1,0,2,1,0,1,1,1,3,2,4,2,3,1,0,5,44,0,192
non-intervention--0010,47,1,3,1,4,1,1,3,3,1,1,1,6,2,2,3,0,2,37,0,155
non-intervention--0010,48,2,1,2,3,0,2,3,0,0,1,1,2,0,2,2,0,3,28,0,127
non-intervention--0010,49,0,0,0,1,4,1,3,0,1,2,0,1,2,3,2,0,2,22,0,105
non-intervention--0010,50,1,1,1,1,1,2,3,2,0,3,2,0,2,1,2,0,0,20,0,85
non-intervention--0010,51,0,1,0,1,2,1,0,0,1,0,1,2,2,1,3,0,0,14,0,71
non-intervention--0010,52,0,1,1,0,2,0,1,2,1,1,0,0,3,0,0,0,4,18,0,53
non-intervention--0010,53,0,0,1,3,2,0,1,1,0,0,0,0,0,2,0,0,0,14,0,39
non-intervention--0010,54,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,34
non-intervention--0010,55,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,8,0,26
non-intervention--0010,56,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,1,10,0,16
non-intervention--0010,57,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,11
non-intervention--0010,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
non-intervention--0010,59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7
non-intervention--0010,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,5
non-intervention--0010,61,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3
non-intervention--0010,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
non-intervention--0010,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
non-intervention--0010,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
non-intervention--0010,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
non-intervention--0004,1,211,37,3,54,248,80,61,86,25,6,50,4,119,6,120,1124,182,223,0,9777
non-intervention--0004,2,181,58,5,73,335,107,100,93,41,17,56,6,158,23,143,1173,173,237,0,9540
non-intervention--0004,3,169,56,8,76,329,119,89,68,34,33,60,4,199,16,134,1045,172,253,0,9287
non-intervention--0004,4,168,71,3,92,301,101,92,75,33,23,62,9,178,20,133,841,155,232,0,9055
non-intervention--0004,5,148,61,9,96,290,103,116,76,29,41,48,15,189,26,145,697,133,282,0,8773
