group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
intervention--0001,375,1234,2923,1741,10000,951,1616,3443,2069,3727,1,3193,3810,1540,5257,8725,200722,2571,914,2925
intervention--0002,355,1228,2833,1740,10000,923,1629,3414,2012,3703,1,3034,3731,1534,5245,8677,198143,2638,860,2833
intervention--0003,358,1219,2897,1726,10000,954,1606,3374,2031,3752,1,3210,3778,1583,5249,8739,201327,2699,856,2897
intervention--0004,351,1210,2836,1757,10000,995,1581,3441,1947,3753,1,3225,3826,1601,5244,8736,201404,2758,902,2963
intervention--0005,365,1255,2929,1822,10000,892,1647,3397,2065,3736,1,3133,3805,1582,5289,8723,199743,2804,861,2953
intervention--0006,372,1250,2802,1751,10000,903,1667,3408,1891,3715,1,3173,3805,1537,5282,8693,200069,2678,874,2957
intervention--0007,374,1233,2919,1673,10000,922,1666,3381,2046,3835,1,3183,3810,1595,5262,8728,201165,2735,938,3034
intervention--0008,353,1183,2902,1760,10000,924,1564,3451,1938,3762,1,3202,3722,1544,5236,8683,198961,2646,939,2959
intervention--0009,371,1200,2859,1694,10000,944,1594,3500,2026,3546,1,3180,3782,1556,5279,8693,199960,2665,884,3009
intervention--0010,380,1246,2828,1758,10000,940,1562,3321,1980,3725,1,3145,3709,1567,5132,8649,196139,2654,867,2760
intervention--0011,354,1175,2842,1754,10000,898,1557,3385,1984,3738,1,3073,3782,1562,5252,8659,198616,2747,924,2881
intervention--0012,361,1207,2882,1803,10000,960,1607,3493,2047,3749,1,3175,3844,1717,5292,8700,198784,2790,923,3022
intervention--0013,361,1193,2887,1757,10000,884,1630,3401,1965,3826,1,3182,3827,1608,5298,8698,200724,2710,872,2869
intervention--0014,350,1202,2785,1793,10000,952,1600,3483,2062,3686,1,3209,3803,1619,5243,8728,199056,2767,841,2932
intervention--0015,342,1225,2874,1679,10000,953,1599,3370,1914,3694,1,3163,3790,1446,5309,8654,199951,2665,938,2919
intervention--0016,380,1172,2836,1720,10000,930,1557,3358,1996,3648,1,3200,3790,1600,5182,8610,196455,2696,903,2915
intervention--0017,349,1261,2853,1744,10000,973,1576,3360,2035,3670,1,3180,3810,1601,5296,8718,201535,2722,948,2953
intervention--0018,400,1210,2853,1684,10000,951,1615,3451,2019,3696,1,3249,3805,1538,5274,8736,200418,2829,925,2857
intervention--0019,374,1184,2830,1712,10000,927,1642,3396,2038,3722,1,3198,3752,1578,5235,8684,197862,2779,832,2945
intervention--0020,355,1235,2895,1805,10000,974,1574,3380,2038,3809,1,3192,3811,1575,5246,8712,199556,2812,953,2931
