group,step,hypoglycemia_medical,hypoglycemia_any,amputation,macroalbuminuria,microalbuminuria,blindness,ulcer,mi,stroke,chf,angina,dialysis,egfr_60,egfr_30,revasc,neurop,laser_retina,death,count_surviving
non-intervention--0001,9,1201,371,36,737,2849,692,798,631,331,165,544,64,933,143,1079,6810,855,1690,8310
non-intervention--0001,10,1338,412,42,846,3084,780,897,694,369,200,604,77,1074,157,1191,7209,962,1925,8075
non-intervention--0001,11,1461,463,50,961,3310,878,994,754,405,240,652,91,1207,177,1315,7523,1046,2188,7812
non-intervention--0001,12,1581,512,52,1066,3541,984,1084,813,438,270,706,103,1349,202,1410,7768,1114,2437,7563
non-intervention--0001,13,1698,567,57,1177,3772,1090,1168,878,473,314,756,123,1489,226,1539,8002,1200,2710,7290
non-intervention--0001,14,1805,612,64,1287,3964,1179,1267,941,506,353,820,143,1621,245,1657,8188,1289,2979,7021
non-intervention--0001,15,1917,659,73,1410,4166,1273,1344,1011,546,402,877,164,1750,271,1761,8354,1347,3267,6733
non-intervention--0001,16,2024,706,76,1515,4364,1375,1458,1068,574,452,921,183,1875,294,1861,8511,1437,3598,6402
non-intervention--0001,17,2139,756,81,1646,4532,1463,1559,1124,608,503,968,201,2008,324,1956,8654,1518,3932,6068
non-intervention--0001,18,2246,794,90,1751,4682,1556,1643,1177,641,546,1023,223,2116,349,2058,8759,1597,4260,5740
non-intervention--0001,19,2353,854,92,1881,4799,1656,1732,1236,678,597,1075,241,2239,386,2165,8861,1673,4578,5422
non-intervention--0001,20,2466,904,96,1994,4940,1753,1831,1306,717,644,1112,258,2377,414,2267,8943,1754,4920,5080
non-intervention--0001,21,2568,949,106,2108,5065,1819,1924,1368,745,685,1153,285,2495,448,2370,9013,1820,5246,4754
non-intervention--0001,22,2682,1007,115,2226,5180,1901,2018,1418,790,744,1183,305,2604,475,2477,9072,1900,5614,4386
non-intervention--0001,23,2779,1064,123,2333,5303,2002,2122,1485,830,805,1230,333,2702,504,2566,9123,1958,5915,4085
non-intervention--0001,24,2872,1132,129,2443,5412,2091,2204,1553,858,851,1270,356,2796,535,2663,9164,2017,6234,3766
non-intervention--0001,25,2972,1195,136,2557,5514,2180,2301,1608,894,925,1296,383,2914,554,2752,9207,2093,6598,3402
non-intervention--0001,26,3073,1251,144,2659,5615,2255,2396,1660,928,972,1324,406,2995,592,2840,9238,2173,6931,3069
non-intervention--0001,27,3187,1298,150,2778,5695,2335,2487,1711,963,1020,1366,426,3074,625,2937,9265,2227,7234,2766
non-intervention--0001,28,3281,1337,163,2873,5752,2418,2565,1766,999,1072,1400,448,3142,660,3040,9296,2298,7576,2424
non-intervention--0001,29,3390,1383,177,2996,5843,2498,2663,1824,1023,1128,1443,468,3234,694,3146,9317,2367,7884,2116
non-intervention--0001,30,3488,1438,187,3108,5922,2558,2758,1879,1042,1186,1479,489,3315,726,3245,9331,2434,8163,1837
non-intervention--0001,31,3600,1492,198,3210,5982,2620,2831,1940,1081,1248,1509,507,3409,777,3343,9350,2475,8415,1585
non-intervention--0001,32,3694,1551,213,3330,6017,2695,2913,1972,1122,1303,1542,524,3493,824,3436,9359,2530,8653,1347
non-intervention--0001,33,3799,1595,221,3424,6067,2757,3004,2015,1155,1362,1570,545,3566,866,3517,9364,2593,8899,1101
non-intervention--0001,34,3882,1648,225,3512,6110,2828,3088,2071,1189,1426,1598,573,3634,894,3606,9377,2644,9066,934
non-intervention--0001,35,3972,1703,231,3602,6166,2885,3171,2107,1225,1502,1630,587,3689,934,3697,9383,2716,9242,758
non-intervention--0001,36,4050,1761,244,3679,6214,2947,3248,2150,1264,1558,1656,609,3750,975,3769,9393,2768,9381,619
non-intervention--0001,37,4152,1808,251,3767,6261,3016,3317,2188,1292,1615,1690,638,3809,1017,3851,9403,2814,9496,504
non-intervention--0001,38,4225,1855,259,3858,6291,3076,3395,2220,1318,1670,1721,660,3857,1053,3953,9407,2856,9612,388
non-intervention--0001,39,4313,1898,265,3935,6338,3128,3469,2270,1356,1738,1746,682,3905,1088,4023,9410,2894,10000,0
